Station Name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Baker Butte,25.1,33.9,42.7,25.6,36.8,28.6,29.6,38.4,25.1,24.5,26.9,47,49.4,30.6,35.6,16.5,21.5,34.8,29.8,11.6,34.1,9,27.4,21.4,43.2,15.2,17.9,39.5,22.1,34.6,22.6,24.8,26.1,19.2,23.7,28.1,31.9,17.3,28.6,27.2
Baldy,21.4,30.6,31.3,26.2,32.7,25.7,35,34.8,17.8,16.1,29.3,35.1,27.2,24.3,29.6,17.2,25.6,26,26.9,20.1,28.6,9,22,24.5,30.6,21.1,22.3,30.5,24.9,33.5,19.1,23.5,25.5,20.5,21.9,24.8,30.1,18.8,29.7,21.1
Coronado Trail,20.1,20.3,28.2,23.7,27.7,30.3,28.7,28,16,20.1,23.5,31.6,27.5,17.5,21.6,18.3,22.1,25.2,24.9,8.8,26.2,12.3,18.7,18.8,23.5,16.1,16.5,24.8,17.1,23.8,17.9,19.9,19.6,15,16.2,14.3,17.9,11.3,18.4,15.8
Fry,18.7,29.9,39.5,15.5,28.5,28.5,22.3,28.3,18.8,23.1,21.8,37,40.3,22.5,39.7,11.2,22.3,30.6,22.3,15.7,24.2,7.4,25.2,21.7,47.8,16.3,15.8,29.1,19.7,32.4,24.8,23.2,24.9,19.6,27.3,23.9,32.9,16.6,31.6,24.4
Hannagan Meadows,25.5,30.9,38.7,32,38.5,26,25.3,34.4,15.8,27.6,37.5,39.3,36.6,24.2,33.8,24.2,26.3,35.2,27.2,13.5,39.3,15.2,25.2,21.9,34.7,28.2,26.4,36.2,25.1,30.3,22.1,23.3,27.5,22.9,26.8,22.5,31.2,19.3,34.3,24.5
Heber,20,33.1,39.9,24.3,28,27.8,27.2,31.2,22,21.1,30.2,38.6,41.1,31,34.3,19.8,25.7,33.3,25.9,14.2,32.5,10.2,20.1,19.4,35.3,16.4,21.7,40,21,30.8,24.3,24.8,28.9,19.9,27.1,26.2,32,15.1,28.4,28.5
Maverick Fork,18.9,24.2,30.5,22.5,33.2,16.6,26.3,26,15.9,12.6,26.9,26.1,31.2,20.9,27.5,10.9,21.1,24.6,17.1,13.4,25.3,10.1,17,19.4,24.3,16.3,17.9,26.4,23.4,27.7,13.9,17,22.7,14.9,23.3,19.4,24.2,9.4,24.2,21.3
Mormon Mountain,22.4,36.7,42,23.6,31.6,31.3,22.3,28.9,19.8,22,23.2,36.6,42.3,23.5,37,10.8,22,33.7,26.8,16.6,29.8,9.1,25.8,16.7,44.9,14,17.5,33.2,22,34.4,22.8,26,27.3,24.2,31.5,28.9,34.7,13.9,33.1,24.4
Promontory,27,41,45,26,42.6,31.8,30.6,40,23.1,31,41.6,56.3,58.8,34.6,47.1,18.6,28.5,39.8,28.7,19.5,33.2,10,33.7,22.7,48.6,14.6,28.6,44.7,33,43,27.5,28.1,39.6,20.8,29.4,28.6,40.3,10.8,36.4,29.7
White Horse Lake,25.3,28.7,32.2,19.6,26.8,23.3,22.8,31.3,14.9,25.1,22.5,39.3,39.6,22.7,36.7,10.3,19,26.6,20.4,14.7,25.6,7.9,12.9,13.6,45.7,15.6,9,24.8,17.4,32.7,25.6,18.5,24.3,12.5,16.8,21.8,27,14.3,25.2,19.9
Wildcat,21,26,29,23,31.5,30.8,30.2,29.9,18.5,19.2,28.2,33.2,35,23.4,29.6,14,21.5,24.2,24.5,13,24.4,14.6,23.1,16.9,25.2,17.6,16,29.2,19.5,27.5,19,20.4,23.6,16.1,15.5,20.5,24.3,11.1,22.2,23
Workman Creek,25.4,44.1,51.5,24.8,45.9,36,30.4,36,22.6,28.4,39.6,48.3,58.4,27,45,17.3,21.7,39.8,31.7,13.4,33.6,10.1,24.6,24.2,42.7,15.1,23.7,52.7,34.7,37.8,23.1,26.2,33,23.9,26.7,32.9,36.5,15.8,32.1,27.3