date,Population
1900-12-01,124000
1901-12-01,131000
1902-12-01,138000
1903-12-01,144000
1904-12-01,151000
1905-12-01,158000
1906-12-01,167000
1907-12-01,176000
1908-12-01,186000
1909-12-01,196000
1910-12-01,206000
1911-12-01,212000
1912-12-01,217000
1913-12-01,236000
1914-12-01,253000
1915-12-01,263000
1916-12-01,282000
1917-12-01,311000
1918-12-01,320000
1919-12-01,329000
1920-12-01,340000
1921-12-01,351000
1922-12-01,360000
1923-12-01,371000
1924-12-01,382000
1925-12-01,393000
1926-12-01,403000
1927-12-01,414000
1928-12-01,422000
1929-12-01,430000
1930-12-01,434000
1931-12-01,429000
1932-12-01,426000
1933-12-01,426000
1934-12-01,428000
1935-12-01,434000
1936-12-01,443000
1937-12-01,453000
1938-12-01,466000
1939-12-01,484000
1940-12-01,499000
1941-12-01,490000
1942-12-01,524000
1943-12-01,692000
1944-12-01,610000
1945-12-01,594000
1946-12-01,616000
1947-12-01,653000
1948-12-01,690000
1949-12-01,714000
1950-12-01,756000
1951-12-01,785000
1952-12-01,842000
1953-12-01,894000
1954-12-01,933000
1955-12-01,987000
1956-12-01,1053000
1957-12-01,1125000
1958-12-01,1193000
1959-12-01,1261000
1960-12-01,1321000
1961-12-01,1407000
1962-12-01,1471000
1963-12-01,1521000
1964-12-01,1556000
1965-12-01,1584000
1966-12-01,1614000
1967-12-01,1646000
1968-12-01,1682000
1969-12-01,1737000
1970-12-01,1775399
1971-12-01,1895814
1972-12-01,2008291
1973-12-01,2124438
1974-12-01,2223196
1975-12-01,2284847
1976-12-01,2346157
1977-12-01,2425197
1978-12-01,2515316
1979-12-01,2635571
1980-12-01,2737774
1981-12-01,2810107
1982-12-01,2889861
1983-12-01,2968925
1984-12-01,3067135
1985-12-01,3183538
1986-12-01,3308262
1987-12-01,3437103
1988-12-01,3535183
1989-12-01,3622185
1990-12-01,3679056
1991-12-01,3762394
1992-12-01,3867333
1993-12-01,3993390
1994-12-01,4147561
1995-12-01,4306908
1996-12-01,4432308
1997-12-01,4552207
1998-12-01,4667277
1999-12-01,4778332
2000-12-01,5160586
2001-12-01,5273477
2002-12-01,5396255
2003-12-01,5510364
2004-12-01,5652404
2005-12-01,5839077
2006-12-01,6029141
2007-12-01,6167681
2008-12-01,6280362
2009-12-01,6343154
2010-12-01,6407342
2011-12-01,6473416
2012-12-01,6556344
2013-12-01,6634690
2014-12-01,6732873
2015-12-01,6832810
2016-12-01,6944767
2017-12-01,7048088
2018-12-01,7164228
2019-12-01,7291843
2020-12-01,7421401